TestName,AMDRyzen5800x-mean_time,AMDRyzen5800x-SEM,AMDRyzen5800XCO-mean_time,AMDRyzen5800XCO-SEM,AMDTurin-mean_time,AMDTurin-SEM,AMDTurinCO-mean_time,AMDTurinCO-SEM,ARM4-mean_time,ARM4-SEM,ARM4CO-mean_time,ARM4CO-SEM,ARM1-mean_time,ARM1-SEM,ARM1CO-mean_time,ARM1CO-SEM,IntelXeon-mean_time,IntelXeon-SEM,IntelXeonCO-mean_time,IntelXeonCO-SEM
Test6/gpp_o3.x,7.18800,0.03988,7.01200,0.03048,18.90100,0.00983,8.10700,0.00486,6.14600,0.05705,6.34700,0.01356,12.48800,0.10445,11.98800,0.13719,12.39500,0.01698,9.50600,0.01979
Test6/icx.x,4.74100,0.08513,4.15900,0.04663,1.90600,0.03205,1.93500,0.02394,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.25600,0.01880,4.65900,0.01890
Test6/icx_o3.x,4.64200,0.07590,4.10800,0.05342,1.89100,0.02271,1.89600,0.02884,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.26000,0.01927,4.64100,0.01849
Test6/clang.x,0.00000,0.00000,0.00000,0.00000,5.41400,0.00390,5.40900,0.00418,6.66300,0.07467,6.26800,0.01583,0.00000,0.00000,0.00000,0.00000,6.51200,0.01139,6.60600,0.02089
Test6/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.42300,0.00422,5.41000,0.00353,6.44300,0.06451,6.28400,0.01399,0.00000,0.00000,0.00000,0.00000,6.49700,0.01100,6.60100,0.01760
Test7/gfortran.x,7.14900,0.04762,7.07500,0.04351,5.43100,0.00677,5.40500,0.00542,7.00300,0.05084,7.00000,0.03031,12.07500,0.08249,12.36500,0.24763,6.61500,0.01622,6.61500,0.03358
Test7/gfortran_o3.x,7.20300,0.03752,6.97800,0.02992,5.42600,0.00463,5.41700,0.00504,7.42100,0.04172,7.06200,0.01718,12.21500,0.08887,12.20900,0.08953,6.54900,0.01142,6.58700,0.01372
Test7/flang.x,0.00000,0.00000,0.00000,0.00000,5.41800,0.00450,5.39900,0.00262,6.34600,0.09131,6.16000,0.03236,0.00000,0.00000,0.00000,0.00000,6.52700,0.01081,6.54200,0.01425
Test7/flang_o3.x,0.00000,0.00000,0.00000,0.00000,5.42200,0.00448,5.41700,0.00591,6.82900,0.04271,6.18400,0.02869,0.00000,0.00000,0.00000,0.00000,6.48900,0.00990,6.57900,0.02222
Test7/ifx.x,6.05000,0.36681,4.40000,0.28148,5.42300,0.00438,1.99800,0.02015,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.55400,0.01159,4.65500,0.01670
Test7/ifx_o3.x,6.40000,0.29264,4.17500,0.09397,5.42700,0.00679,1.99400,0.01968,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.55700,0.01338,4.59900,0.01670
Test7/gpp.x,7.10300,0.02961,7.26200,0.03671,32.34000,0.01909,26.97700,0.01361,7.13000,0.09391,6.30600,0.00965,11.99000,0.11536,12.04600,0.11594,18.77500,0.01298,19.04500,0.12573
Test7/gpp_o3.x,7.18800,0.03927,7.03100,0.03274,18.89000,0.00912,8.10600,0.00573,6.53000,0.08514,6.22500,0.03914,11.96400,0.08816,12.28500,0.09640,12.40300,0.01226,9.50900,0.02454
Test7/icx.x,4.65100,0.06660,4.03200,0.03842,1.87900,0.02225,1.96800,0.02568,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.27400,0.01713,4.70000,0.01647
Test7/icx_o3.x,4.57600,0.05578,4.06900,0.04758,1.92000,0.02140,1.91800,0.02431,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.26000,0.01878,4.71800,0.01457
